TERR,LIB_TERR,periode,periode_milieu,periode_nb_annees,POPULATION_debut,POPULATION_fin,DECES,NAISSANCES,EVOL_DEMO_TOT,EVOL_DEMO_SN,EVOL_DEMO_SMA,TX_EVOL_DEMO_AN_TOT,TX_EVOL_DEMO_AN_SN,TX_EVOL_DEMO_AN_SMA,NIV_TERR
200000925,CC de la Plaine Dijonnaise,2010_2015,2012.5,5,21714,22037,627,1226,323,599,-276,0.00295749379260091,0.00548464019123202,-0.00252714639863112,EPCI
200000925,CC de la Plaine Dijonnaise,1968_1975,1971.5,7,9869,11480,679,1262,1611,583,1028,0.0218361160570209,0.00790220711436571,0.0139339089426551,EPCI
200000925,CC de la Plaine Dijonnaise,1975_1982,1978.5,7,11480,14688,702,1353,3208,651,2557,0.0358304704189043,0.00727108361680383,0.0285593868021005,EPCI
200000925,CC de la Plaine Dijonnaise,1982_1990,1986,8,14688,17681,871,1867,2993,996,1997,0.0234532749478298,0.00780469824525174,0.015648576702578,EPCI
200000925,CC de la Plaine Dijonnaise,1990_1999,1994.5,9,17681,18710,1017,2031,1029,1014,15,0.00630507422191973,0.00621316351897629,9.19107029434358e-05,EPCI
200000925,CC de la Plaine Dijonnaise,1999_2010,2004.5,11,18710,21714,1347,2814,3004,1467,1537,0.0136283096214389,0.00665536957877859,0.00697294004266032,EPCI
200000933,CC Sauldre et Sologne,2010_2015,2012.5,5,14642,14040,967,659,-602,-308,-294,-0.00836158834518197,-0.00427802194404659,-0.00408356640113538,EPCI
200000933,CC Sauldre et Sologne,1968_1975,1971.5,7,15389,15151,1541,1325,-238,-216,-22,-0.00222415604898563,-0.0020185617923567,-0.000205594256628923,EPCI
200000933,CC Sauldre et Sologne,1975_1982,1978.5,7,15151,15549,1528,1180,398,-348,746,0.00371112516345695,-0.00324490340925382,0.00695602857271077,EPCI
200000933,CC Sauldre et Sologne,1982_1990,1986,8,15549,14867,1678,1376,-682,-302,-380,-0.00559085470469745,-0.00247571571967541,-0.00311513898502204,EPCI
200000933,CC Sauldre et Sologne,1990_1999,1994.5,9,14867,14945,1744,1345,78,-399,477,0.000581591737227383,-0.00297506542504777,0.00355665716227515,EPCI
200000933,CC Sauldre et Sologne,1999_2010,2004.5,11,14945,14642,2171,1670,-303,-501,198,-0.00186032966598904,-0.00307599063584326,0.00121566096985422,EPCI
200004802,CC du Pays de Fayence,2010_2015,2012.5,5,25837,27519,1393,1306,1682,-87,1769,0.0126937102030136,-0.000656571217397254,0.0133502814204108,EPCI
200004802,CC du Pays de Fayence,1968_1975,1971.5,7,7399,8896,836,549,1497,-287,1784,0.0266719061037051,-0.00511345160438434,0.0317853577080894,EPCI
200004802,CC du Pays de Fayence,1975_1982,1978.5,7,8896,11340,993,621,2444,-372,2816,0.0352846011010517,-0.00537065123142031,0.040655252332472,EPCI
200004802,CC du Pays de Fayence,1982_1990,1986,8,11340,14935,1325,1083,3595,-242,3837,0.0350206665209347,-0.00235744125120061,0.0373781077721353,EPCI
200004802,CC du Pays de Fayence,1990_1999,1994.5,9,14935,19799,1796,1689,4864,-107,4971,0.0318206741831828,-0.000700002495394852,0.0325206766785777,EPCI
200004802,CC du Pays de Fayence,1999_2010,2004.5,11,19799,25837,2564,2537,6038,-27,6065,0.0244929743815605,-0.000109524728105686,0.0246024991096662,EPCI
200005932,CC des Portes de Sologne,2010_2015,2012.5,5,14986,15338,627,792,352,165,187,0.00465419274642587,0.00218165284988713,0.00247253989653874,EPCI
200005932,CC des Portes de Sologne,1968_1975,1971.5,7,8155,8472,787,706,317,-81,398,0.00546277716692689,-0.00139585157893085,0.00685862874585774,EPCI
200005932,CC des Portes de Sologne,1975_1982,1978.5,7,8472,11061,810,867,2589,57,2532,0.0388289968707105,0.000854867833769988,0.0379741290369405,EPCI
