TERR,LIB_TERR,AGEREVS,nb_ind_ISO,nb_ind_SORT,nb_ind_ENTR,SM,nb_ind_PRES,nb_ind_AUTO,TM,PS,PE,TR,NIV_TERR
200000172,CC Faucigny-Glières,< 20 ans,6276.55329206245,369.064713877214,350.212278533173,-18.8524353440403,6626.76557059563,6645.61800593967,-0.00284085149217209,0.055535047838644,0.0528481466263331,0.108387011008636,EPCI
200000172,CC Faucigny-Glières,> 65 ans,3651.10597509421,65.9387944098387,92.919758623289,26.9809642134503,3744.02573371749,3717.04476950404,0.00723246461799294,0.0177395749846286,0.0248181410150265,0.0425833137388357,EPCI
200000172,CC Faucigny-Glières,20-29 ans,2640.14147993603,487.12697780785,552.718491640837,65.5915138329873,3192.85997157686,3127.26845774388,0.0207563863824953,0.155767560217482,0.173110783611304,0.329058335151726,EPCI
200000172,CC Faucigny-Glières,30-39 ans,3373.28933730988,321.402091915074,376.673829518033,55.2717376029592,3749.96316682791,3694.69142922495,0.0148487043662883,0.0869902393939555,0.10044734114993,0.187537490806686,EPCI
200000172,CC Faucigny-Glières,40-49 ans,3926.67619130929,159.563609312359,218.258676092284,58.6950667799255,4144.93486740158,4086.23980062165,0.0142616501646955,0.039049007669125,0.0526567203284206,0.0918027622162899,EPCI
200000172,CC Faucigny-Glières,50-64 ans,4198.87249359062,127.536394749196,112.295328522217,-15.2410662269792,4311.16782211283,4326.40888833981,-0.00352901438398467,0.0294785809757653,0.026047542836591,0.0555321779038289,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,< 20 ans,8780.51989660963,455.970033706921,392.907559012136,-63.0624746947842,9173.42745562177,9236.48993031655,-0.00685092424618395,0.0493661593469949,0.0428310531601087,0.0922195982658172,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,> 65 ans,5669.93971386617,53.1285587439863,161.634859368974,108.506300624987,5831.57457323514,5723.06827261016,0.0187814200875976,0.00928322994122794,0.0277171898153923,0.0371735277287575,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,20-29 ans,2611.93437573717,450.148883474789,590.486353778089,140.3374703033,3202.42072951526,3062.08325921196,0.0448040165848192,0.147007395086519,0.184387500472953,0.33223228499031,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,30-39 ans,4669.02763681232,213.034379725344,298.099404290453,85.0650245651098,4967.12704110278,4882.06201653767,0.0172735083197781,0.0436361478006022,0.0600144513767602,0.103792054558906,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,40-49 ans,4641.23257233103,163.56307835364,128.877273839614,-34.6858045140259,4770.10984617065,4804.79565068467,-0.00724514816891252,0.0340416305385085,0.0270176742246459,0.0610847495652673,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,50-64 ans,6089.08724938235,120.319844307977,149.088163454323,28.7683191463463,6238.17541283668,6209.40709369033,0.00462231427367706,0.0193770262591157,0.023899322091446,0.0432868000868495,EPCI
200000545,CC des Portes de Romilly-sur-Seine,< 20 ans,3982.86661105726,312.000207107052,313.144771081287,1.1445639742347,4296.01138213855,4294.86681816432,0.000266460296036871,0.0726449085190505,0.0728919789140325,0.145536920350308,EPCI
200000545,CC des Portes de Romilly-sur-Seine,> 65 ans,4213.49095781339,48.2478698778687,78.4507172540663,30.2028473761976,4291.94167506746,4261.73882769126,0.00706195359213069,0.0113211700267438,0.0182786074912897,0.0296243440682809,EPCI
200000545,CC des Portes de Romilly-sur-Seine,20-29 ans,1559.91979340043,326.550593802282,248.125537127184,-78.4250566750984,1808.04533052761,1886.47038720271,-0.0424548507392886,0.173101362214594,0.137234135083758,0.311096866185488,EPCI
200000545,CC des Portes de Romilly-sur-Seine,30-39 ans,1665.88877551394,172.640732802568,180.628331218422,7.98759841585419,1846.51710673236,1838.52950831651,0.00433514104447672,0.0939015294677813,0.0978210981960877,0.191731123605504,EPCI
200000545,CC des Portes de Romilly-sur-Seine,40-49 ans,2238.59514176677,108.80634606323,114.309334333288,5.50298827005726,2352.90447610006,2347.40148783,0.00234154470465835,0.0463518263183064,0.04858222486055,0.0949366624678043,EPCI
200000545,CC des Portes de Romilly-sur-Seine,50-64 ans,3740.58137251923,99.6383620386044,80.4045026490796,-19.2338593895248,3820.98587516831,3840.21973455784,-0.00502110512870371,0.0259460054178584,0.0210428683266299,0.0470011833278861,EPCI
200000628,CC Rhône Lez Provence,< 20 ans,5491.95178732582,325.79592773474,253.73008413944,-72.0658435953,5745.68187146526,5817.74771506056,-0.0124644411168939,0.0560003533483143,0.0441601344828257,0.10023427868657,EPCI
200000628,CC Rhône Lez Provence,> 65 ans,4485.77720957695,173.218795220958,51.1666271340108,-122.052168086947,4536.94383671096,4658.9960047979,-0.0265447948095583,0.0371794255763634,0.011277773976392,0.0488009765662303,EPCI
200000628,CC Rhône Lez Provence,20-29 ans,2108.52165115214,400.109510371242,265.537404926204,-134.572105445038,2374.05905607834,2508.63116152338,-0.0551221148373967,0.159493159659339,0.111849536449544,0.272655804743803,EPCI
200000628,CC Rhône Lez Provence,30-39 ans,2675.80816812484,177.965710612247,207.703127843177,29.7374172309308,2883.51129596802,2853.77387873709,0.0103663723609344,0.062361531843232,0.0720313210264188,0.134442973187313,EPCI
200000628,CC Rhône Lez Provence,40-49 ans,2884.85422051622,95.1850656270058,138.240789851288,43.0557242242823,3023.09501036751,2980.03928614322,0.0143444147998848,0.0319408761050914,0.0457282319534121,0.0777679938341445,EPCI
