TERR,LIB_TERR,AGEREVS,type_indice,valeur,NIV_TERR
200033090,CC Plaines et Monts de France,GLOBAL,IRI,0.0700137368931952,EPCI
200033116,CC Cluses-Arve et Montagnes,GLOBAL,IRI,0.082112579424092,EPCI
200033173,CC de la Haute Vallée de Chevreuse,GLOBAL,IRI,0.0703065393740241,EPCI
200033181,CA Chartres Métropole,GLOBAL,IRI,0.0859252728951201,EPCI
200033207,CC Vierzon-Sologne-Berry,GLOBAL,IRI,0.0816091373752709,EPCI
200033298,CC des Coëvrons,GLOBAL,IRI,0.0619152342060462,EPCI
200033579,CU d'Arras,GLOBAL,IRI,0.0841862532463786,EPCI
200033827,CC de Fium'orbu Castellu,GLOBAL,IRI,0.0310588313070196,EPCI
200033868,CC des Ballons des Hautes-Vosges,GLOBAL,IRI,0.0886626023439993,EPCI
200034023,CC Tarn-Agout,GLOBAL,IRI,0.0509871991067848,EPCI
200034031,CC des Monts d'Alban et du Villefranchois,GLOBAL,IRI,0.102202186158181,EPCI
200034049,CC Centre Tarn,GLOBAL,IRI,0.0865693765595199,EPCI
200034056,CC du Lautrécois et du Pays d'Agout,GLOBAL,IRI,0.0538655778457663,EPCI
200034064,CC du Cordais et du Causse (4 C),GLOBAL,IRI,0.0395258835329638,EPCI
200034098,CC des Montagnes du Giffre,GLOBAL,IRI,0.0659507288720328,EPCI
200034130,CC Gally Mauldre,GLOBAL,IRI,0.0767680362820271,EPCI
200034197,CC de Montaigne Montravel et Gurson,GLOBAL,IRI,0.0476736324133821,EPCI
200034205,CC de la Costa Verde,GLOBAL,IRI,0.025852988602128,EPCI
200034270,CC du Pays de Barr,GLOBAL,IRI,0.0928062938389742,EPCI
200034379,CC Pays d'Uzès,GLOBAL,IRI,0.0273488978074625,EPCI
200034411,CC du Piémont Cévenol,GLOBAL,IRI,0.0689859912584497,EPCI
200034601,CC Causses Aigoual Cévennes,GLOBAL,IRI,0.0646385741127503,EPCI
200034635,CC du Kochersberg,GLOBAL,IRI,0.114227243049774,EPCI
200034692,CA du Gard Rhodanien,GLOBAL,IRI,0.0762826168575474,EPCI
200034700,CA Durance-Lubéron-Verdon Agglomération,GLOBAL,IRI,0.0567791270786004,EPCI
200034718,"CC de Vitry, Champagne et Der",GLOBAL,IRI,0.0672846322924778,EPCI
200034726,CC Bastides de Lomagne,GLOBAL,IRI,0.0311655971098297,EPCI
200034825,CA du Grand Guéret,GLOBAL,IRI,0.0808970931013189,EPCI
200034833,CC des Bastides Dordogne-Périgord,GLOBAL,IRI,0.0579595499896496,EPCI
200034874,CC Côtes de Meuse Woëvre,GLOBAL,IRI,0.10077053733347,EPCI
200034882,CC Pays du Mont-Blanc,GLOBAL,IRI,0.0837279664152367,EPCI
200034957,CC du Frontonnais,GLOBAL,IRI,0.0598316897214072,EPCI
200035087,CA Terre de Provence,GLOBAL,IRI,0.052575504675865,EPCI
200035103,CC de la Vallée de la Haute-Sarthe,GLOBAL,IRI,0.116872652588994,EPCI
200035111,CC des Sources de l'Orne,GLOBAL,IRI,0.063276297457502,EPCI
200035129,CC de Cèze Cévennes,GLOBAL,IRI,0.0566072537374051,EPCI
200035137,CC Marche Occitane - Val d'Anglin,GLOBAL,IRI,0.180248677932281,EPCI
200035202,CC Charlieu-Belmont,GLOBAL,IRI,0.0663414667618899,EPCI
200035319,CA Var Esterel Méditerranée (Cavem),GLOBAL,IRI,0.0337796734460885,EPCI
200035327,CC Cazals-Salviac,GLOBAL,IRI,0.0678365601816114,EPCI
200035442,CC du Sud-Artois,GLOBAL,IRI,0.129981828676089,EPCI
200035459,CA d'Agen,GLOBAL,IRI,0.105594797854622,EPCI
200035533,CC du Grand Saint-Émilionnais,GLOBAL,IRI,0.0887398814202738,EPCI
200035541,CC des Landes d'Armagnac,GLOBAL,IRI,0.0675758206842792,EPCI
200035632,CC Armagnac Adour,GLOBAL,IRI,0.0767650682371725,EPCI
200035665,CA Seine Eure,GLOBAL,IRI,0.0677667467647684,EPCI
200035707,CC Piège Lauragais Malepère,GLOBAL,IRI,0.0534429175810969,EPCI
200035715,CA Carcassonne Agglo,GLOBAL,IRI,0.0640586811728762,EPCI
200035723,CC Ventoux Sud,GLOBAL,IRI,0.0268295119099429,EPCI
200035731,CA Roannais Agglomération,GLOBAL,IRI,0.0969939807720575,EPCI
200035756,CC Astarac Arros en Gascogne,GLOBAL,IRI,0.110712970631717,EPCI
200035764,CC de la Beauce Loirétaine,GLOBAL,IRI,0.0869136248275594,EPCI
200035772,CC du Pays du Saintois,GLOBAL,IRI,0.0786492332715074,EPCI
200035814,CA Flers Agglo,GLOBAL,IRI,0.058158762254025,EPCI
200035848,CC du Châtillonnais en Berry,GLOBAL,IRI,0.15440849552478,EPCI
200035855,CC Castelnaudary Lauragais Audois,GLOBAL,IRI,0.0544879314339367,EPCI
