TERR,LIB_TERR,nb_ind_ISO,nb_ind_SORT,nb_ind_ENTR,SM,nb_ind_PRES,nb_ind_AUTO,TM,PS,PE,TR,NIV_TERR
200000172,CC Faucigny-Glières,24066.6387693025,1530.63258207153,1703.07836292983,172.445780858303,25769.7171322323,25597.271351374,0.00671426478168322,0.0597967088390213,0.0660883607759766,0.125906191523507,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,32461.7414447387,1456.16477831266,1721.09361374359,264.928835430934,34182.8350584823,33917.9062230513,0.00778049784614526,0.0429320362152253,0.0503496451010874,0.0933105376612927,EPCI
200000545,CC des Portes de Romilly-sur-Seine,17401.342652071,1067.88411169161,1015.06319366333,-52.8209180282795,18416.4058457344,18469.2267637626,-0.00286403752851345,0.0578196437431175,0.0551173340860338,0.112940847587287,EPCI
200000628,CC Rhône Lez Provence,22694.6980151153,1277.77597481711,1077.08213307999,-200.693841737122,23771.7801481952,23972.4739899324,-0.00840703642186975,0.0533017983606419,0.0453092753830536,0.0986446704595831,EPCI
200000800,CC Coeur de Sologne,9984.6731134228,478.80894496212,550.371124394941,71.5621794328215,10535.0442378177,10463.4820583849,0.00681592397708049,0.0457600005705964,0.0522419376673587,0.098024028433193,EPCI
200000925,CC de la Plaine Dijonnaise,20657.2156805052,1169.60051207366,960.782708429787,-208.81780364387,21617.9983889349,21826.8161925788,-0.00961301391916743,0.0535854841014937,0.0444436478874732,0.098073072288353,EPCI
200000933,CC Sauldre et Sologne,13389.5784029738,743.293571665882,523.982510220567,-219.311061445316,13913.5609131944,14132.8719746397,-0.0156391411572662,0.0525932431143269,0.0376598423286212,0.0903698582243709,EPCI
200004802,CC du Pays de Fayence,25532.8241371052,1057.5178465789,1590.67869298166,533.160846402757,27123.5028300869,26590.3419836841,0.0198518965920707,0.0397707501177607,0.0586457694253705,0.0986038720088652,EPCI
200005932,CC des Portes de Sologne,14270.2830437419,655.269062991412,852.21826737844,196.949204387028,15122.5013111204,14925.5521067333,0.0131089492985264,0.0439025007789026,0.0563543192918594,0.100338435199542,EPCI
200005957,CC de la Région de Rambervillers,12830.4828942487,509.226327456334,549.894721871053,40.6683944147192,13380.3776161197,13339.709221705,0.00304403160525282,0.0381737202058177,0.0410971003694678,0.0792752700060917,EPCI
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",49502.446100728,2670.64431780281,2170.08676224441,-500.5575555584,51672.5328629724,52173.0904185308,-0.00964041699093077,0.0511881565070995,0.0419969109700727,0.0932293711969936,EPCI
200006716,CC du Nogentais,15727.6143554136,892.98854362787,882.671318609058,-10.3172250188122,16610.2856740226,16620.6028990415,-0.000620941868354074,0.0537278069304797,0.0531400444237691,0.106868033837423,EPCI
200006930,CC du Haut-Allier,4914.13283360501,234.541300369108,301.818784652934,67.277484283826,5215.95161825794,5148.67413397411,0.012982134790412,0.0455537278658715,0.0578645675309653,0.103498205886794,EPCI
200006971,CC du Perche,17162.006892641,1047.33617452827,998.629753112592,-48.706421415682,18160.6366457536,18209.3430671693,-0.00267838595457758,0.0575164172955025,0.0549886974004348,0.112508499800669,EPCI
200007052,CC de la Marche Berrichonne,5498.32470727238,310.669596322796,246.86682450794,-63.8027718148559,5745.19153178032,5808.99430359517,-0.011044096524657,0.0534807885989014,0.0429692940857345,0.0965081276646468,EPCI
200007177,CC Pays de Nérondes,4620.23254677338,314.179482654216,343.718411519135,29.5389288649187,4963.95095829251,4934.4120294276,0.00596844728801412,0.0636711082861602,0.0692429104169406,0.132930646206759,EPCI
200010650,CA du Grand Dole,50682.6052219457,2215.83600143934,2404.67948685068,188.843485411341,53087.2847087964,52898.4412233851,0.00356356450362341,0.041888493312725,0.0452967127635411,0.0871912787811938,EPCI
200010700,CA Caux Seine Agglo,72862.5287837387,2598.62925372184,2881.09844361986,282.469189898019,75743.6272273585,75461.1580374605,0.00373624669885023,0.0344366468962989,0.0380375029436035,0.0724808766831623,EPCI
