TERR,LIB_TERR,CS1,nb_ind_ISO,nb_ind_SORT,nb_ind_ENTR,SM,nb_ind_PRES,nb_ind_AUTO,TM,PS,PE,TR,NIV_TERR
200000172,CC Faucigny-Glières,1,60.5548841721547,0,0,0,60.5548841721547,60.5548841721547,0,0,0,0,EPCI
200000172,CC Faucigny-Glières,2,785.974976308308,46.2538264602051,48.4160511195631,2.16222465935798,834.391027427871,832.228802768513,0.00259474250837781,0.0555782572128434,0.0580256133252205,0.113607045667533,EPCI
200000172,CC Faucigny-Glières,3,1363.16744790593,140.017649383082,124.659505364827,-15.358144018255,1487.82695327076,1503.18509728901,-0.0102695300176946,0.0931473107574068,0.0837862932182959,0.17698167060101,EPCI
200000172,CC Faucigny-Glières,4,2885.17218583359,330.953668008122,387.913464600169,56.9597965920474,3273.08565043376,3216.12585384171,0.0175552288762723,0.1029044518307,0.118516136156951,0.221557621333396,EPCI
200000172,CC Faucigny-Glières,5,3025.28620486372,211.096918778406,344.578690610591,133.481771832185,3369.86489547431,3236.38312364212,0.0404107661250169,0.0652261832773507,0.102252968976102,0.16822729264207,EPCI
200000172,CC Faucigny-Glières,6,4120.30701009476,227.002272652148,276.483501087154,49.4812284350062,4396.79051118192,4347.30928274691,0.0113176266513705,0.0522167294498802,0.0628830280596725,0.115160116102262,EPCI
200000172,CC Faucigny-Glières,7,4244.35927865146,99.7902702684148,121.226283958009,21.4360136895942,4365.58556260947,4344.14954891987,0.00492231127929912,0.0229711866833007,0.0277686194026965,0.0507516133145904,EPCI
200000172,CC Faucigny-Glières,8,7581.81678147255,475.517976521154,399.80086618952,-75.7171103316333,7981.61764766207,8057.3347579937,-0.00944165284821637,0.0590167829441852,0.0500902052488856,0.109149129016932,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,1,258.76392179141,5.07429745969127,0,-5.07429745969127,258.76392179141,263.838219251101,-0.0194193519742144,0.0192326095669329,0,0.0194193519742144,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,2,714.542832050331,33.5562764264562,19.7276091850434,-13.8286672414128,734.270441235374,748.099108476787,-0.0186575166011714,0.0448553888732478,0.0268669526610014,0.0718901513078787,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,3,989.963097365449,75.2103975234218,74.5049838529088,-0.705413670513025,1064.46808121836,1065.17349488887,-0.000662471730855715,0.0706085890085619,0.0699926894638612,0.140601482480442,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,4,3759.34448363308,171.418893832725,232.561242838789,61.1423490060645,3991.90572647187,3930.7633774658,0.0154347854754343,0.0436095682623461,0.0582582001615384,0.101980817669321,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,5,4335.94228511211,293.68158906846,268.368201331391,-25.3133877370693,4604.3104864435,4629.62387418057,-0.00548268738946473,0.0634353021000957,0.0582862954445728,0.121735712741598,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,6,4851.20207696382,277.95581275621,436.845171349923,158.889358593712,5288.04724831374,5129.15788972003,0.030505179938062,0.0541913153645154,0.0826099221199705,0.137234694840818,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,7,7355.61733018925,91.2981116522785,221.530678134334,130.232566482055,7577.14800832358,7446.91544184153,0.0173365304152285,0.0122598560928069,0.0292366834976669,0.041643699232803,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,8,10196.3654176332,507.969399593413,467.555727051202,-40.4136725422116,10663.9211446844,10704.3348172266,-0.00378258970823346,0.0474545507279846,0.0438446346993348,0.0913060128429282,EPCI
200000545,CC des Portes de Romilly-sur-Seine,1,43.2619001335975,5.10775862068966,0,-5.10775862068966,43.2619001335975,48.3696587542872,-0.111484704236872,0.105598400985968,0,0.111484704236872,EPCI
200000545,CC des Portes de Romilly-sur-Seine,2,301.719588093647,24.5725199484986,20.5415644347307,-4.03095551376786,322.261152528378,326.292108042146,-0.0124306075039138,0.0753083490003524,0.0637419815375416,0.139122219024982,EPCI
200000545,CC des Portes de Romilly-sur-Seine,3,421.290745719951,39.983306044546,45.9102527675735,5.92694672302751,467.200998487525,461.274051764497,0.0127670565222377,0.0866801544366068,0.0982665981369887,0.185020714964403,EPCI
200000545,CC des Portes de Romilly-sur-Seine,4,1335.60759383908,95.0213551818882,88.3645913220698,-6.6567638598184,1423.97218516115,1430.62894902097,-0.00466388370697935,0.0664192872980199,0.0620549981543842,0.128484462720919,EPCI
200000545,CC des Portes de Romilly-sur-Seine,5,2198.38122295918,191.335358901904,184.948948478952,-6.38641042295177,2383.33017143813,2389.71658186108,-0.00267603095173429,0.0800661301654837,0.0776010603547019,0.157670488821741,EPCI
200000545,CC des Portes de Romilly-sur-Seine,6,2565.40908153688,196.335993370586,173.287574551075,-23.0484188195115,2738.69665608795,2761.74507490747,-0.00838057012389817,0.0710912803482286,0.0632737379533681,0.134397776032715,EPCI
200000545,CC des Portes de Romilly-sur-Seine,7,5193.87433914617,63.2369519928569,108.370115024238,45.1331630313815,5302.2444541704,5257.11129113902,0.00854846907708931,0.012028840268123,0.0204385361634923,0.0325033214442699,EPCI
200000545,CC des Portes de Romilly-sur-Seine,8,5341.79818064253,452.290867630637,393.640147084687,-58.6507205459493,5735.43832772722,5794.08904827316,-0.0101740025645865,0.078060738083657,0.0686329665828131,0.146741663752184,EPCI
200000628,CC Rhône Lez Provence,1,161.675347751403,0,0,0,161.675347751403,161.675347751403,0,0,0,0,EPCI
